,County,Year,FIPS,WBGT Days above 85,WBGT Hours above 85,WBGT Days above 90,WBGT Hours above 90,WBGT Av. 24h high JJA,WBGT Av. 24h low JJA
0,"Adams County, IL",2016,17001.0,3,5,0,0,77.22339656335525,66.3203206084622
1,"Adams County, IL",2017,17001.0,2,7,0,0,75.41407233409872,62.76810371647525
2,"Adams County, IL",2018,17001.0,0,0,0,0,77.14047589886083,65.9469543753885
3,"Adams County, IL",2019,17001.0,1,2,0,0,75.57269511108822,64.63287394278584
4,"Adams County, IL",2020,17001.0,0,0,0,0,76.5715251828527,64.81514275416471
5,"Adams County, IL",2021,17001.0,1,0,0,0,76.82695832482267,65.76545780469341
6,"Adams County, IL",2022,17001.0,4,0,0,0,76.52017053865748,64.87121932195771
7,"Adams County, IL",2023,17001.0,7,0,0,0,75.70740516077849,64.00215965141452
8,"Adams County, IL",2024,17001.0,3,0,0,0,75.88413504678545,64.61838932209703
9,"Alexander County, IL",2016,17003.0,1,3,0,0,79.8629017137538,70.86154384849638
10,"Alexander County, IL",2017,17003.0,0,0,0,0,77.02020091995979,66.94792518207967
11,"Alexander County, IL",2018,17003.0,1,4,0,0,78.78871857783018,69.34997476541467
12,"Alexander County, IL",2019,17003.0,2,2,0,0,77.51553276112064,67.72631174289141
13,"Alexander County, IL",2020,17003.0,1,2,0,0,78.06229852463626,68.61179293337771
14,"Alexander County, IL",2021,17003.0,0,0,0,0,78.2075798971365,68.89340655030531
15,"Alexander County, IL",2022,17003.0,7,0,0,0,78.72681964210612,68.54854654192039
16,"Alexander County, IL",2023,17003.0,8,0,0,0,78.02155203890767,67.48345233064468
17,"Alexander County, IL",2024,17003.0,3,0,0,0,78.20839414746584,67.73328827582122
18,"Bond County, IL",2016,17005.0,2,6,0,0,78.00877616674265,67.90705374789273
19,"Bond County, IL",2017,17005.0,1,2,0,0,75.74938828257105,64.44840905146542
20,"Bond County, IL",2018,17005.0,0,0,0,0,77.31942170904547,67.19186377962761
21,"Bond County, IL",2019,17005.0,1,1,0,0,76.16910672538349,65.67993151449936
22,"Bond County, IL",2020,17005.0,1,0,0,0,76.68170987039746,66.13501319398202
23,"Bond County, IL",2021,17005.0,0,0,0,0,77.2317507949975,67.37318784787287
24,"Bond County, IL",2022,17005.0,2,0,0,0,77.05580050725275,66.51077756743169
25,"Bond County, IL",2023,17005.0,8,0,0,0,76.25126692114569,65.15597327620898
26,"Bond County, IL",2024,17005.0,2,0,0,0,76.53088400810574,65.64702330098132
27,"Boone County, IL",2016,17007.0,1,1,0,0,73.54982930263198,61.77583650079091
28,"Boone County, IL",2017,17007.0,0,0,0,0,71.21551635663288,58.96870342825863
29,"Boone County, IL",2018,17007.0,1,2,0,0,73.3648623102941,61.606773345396824
30,"Boone County, IL",2019,17007.0,0,0,0,0,72.28531572485099,60.516179106904886
31,"Boone County, IL",2020,17007.0,0,0,0,0,73.7372295990909,61.645319936632326
32,"Boone County, IL",2021,17007.0,0,0,0,0,73.88848102261089,62.473945973422126
33,"Boone County, IL",2022,17007.0,0,0,0,0,72.32082904834249,60.42574836698805
