,State Name,county Name,Year,Month,State Code,County Code,Avg AQI,Category,Min AQI,Max AQI,Days with AQI >50,Monthly Mode DP (AQI>50),DP as NO2 (AQI>50),DP as Ozone (AQI>50),DP as PM10 (AQI>50),DP as PM2.5 (AQI>50),Days with AQI >100,Monthly Mode DP (AQI>100),DP as NO2 (AQI>100),DP as Ozone (AQI>100),DP as PM10 (AQI>100),DP as PM2.5 (AQI>100)
0,Illinois,Adams,2016,4,17,1,37.2,Good,22,58,2.0,Ozone,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1,Illinois,Adams,2016,5,17,1,42.41935483870968,Good,21,80,3.0,Ozone,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,Illinois,Adams,2016,6,17,1,49.63333333333333,Good,35,77,8.0,Ozone,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,Illinois,Adams,2016,7,17,1,34.774193548387096,Good,29,43,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4,Illinois,Adams,2016,8,17,1,32.54838709677419,Good,23,44,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,Illinois,Adams,2016,9,17,1,33.86666666666667,Good,21,58,1.0,Ozone,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
6,Illinois,Adams,2016,10,17,1,31.193548387096776,Good,19,51,1.0,Ozone,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
7,Illinois,Adams,2017,3,17,1,37.38709677419355,Good,22,50,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
8,Illinois,Adams,2017,4,17,1,46.6,Good,27,87,6.0,Ozone,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
9,Illinois,Adams,2017,5,17,1,49.903225806451616,Good,23,80,8.0,Ozone,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,Illinois,Adams,2017,6,17,1,52.43333333333333,Moderate,31,115,9.0,Ozone,0.0,9.0,0.0,0.0,1.0,Ozone,0.0,1.0,0.0,0.0
11,Illinois,Adams,2017,7,17,1,41.7,Good,32,58,1.0,Ozone,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
12,Illinois,Adams,2017,8,17,1,38.61290322580645,Good,24,58,2.0,Ozone,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
13,Illinois,Adams,2017,9,17,1,41.43333333333333,Good,25,58,4.0,Ozone,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
14,Illinois,Adams,2017,10,17,1,32.645161290322584,Good,15,54,1.0,Ozone,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
15,Illinois,Adams,2018,3,17,1,33.645161290322584,Good,21,42,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
16,Illinois,Adams,2018,4,17,1,41.6,Good,31,58,2.0,Ozone,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
17,Illinois,Adams,2018,5,17,1,49.903225806451616,Good,27,84,10.0,Ozone,0.0,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
18,Illinois,Adams,2018,6,17,1,40.53333333333333,Good,25,87,5.0,Ozone,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
19,Illinois,Adams,2018,7,17,1,37.38709677419355,Good,29,49,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,Illinois,Adams,2018,8,17,1,33.354838709677416,Good,22,47,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
21,Illinois,Adams,2018,9,17,1,32.2,Good,19,48,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
